"","INSEE","NAME","DPT","REG2016","POP","winT1","ABST1","PCFNT1","PCFNT1INSCRITS","ABST2","PCFNT2","winnerT2","DIFF_ABS","DIFF_PCFN"
"17751","46233","Quissac","46",76,116,"GAUCHE",45.05,10.91,5.41,30.63,13.24,"GAUCHE",-14.42,2.33
"17752","46234","Rampoux","46",76,99,"LFN",46.15,25.58,12.09,30.77,37.04,"GAUCHE",-15.38,11.46
"17753","46235","Reilhac","46",76,182,"GAUCHE",34.13,6.49,3.97,25.4,12.64,"GAUCHE",-8.73,6.15
"17754","46236","Reilhaguet","46",76,120,"GAUCHE",40.74,15.58,8.89,34.81,23.26,"GAUCHE",-5.93,7.68
"17755","46237","Reyrevignes","46",76,293,"GAUCHE",38.08,28.48,16.01,27.05,27.27,"GAUCHE",-11.03,-1.21
"17756","46238","Rignac","46",76,267,"GAUCHE",37.74,10.49,5.84,26.07,14.53,"GAUCHE",-11.67,4.04
"17757","46239","Le Roc","46",76,233,"GAUCHE",44.32,28.72,14.59,37.84,30.84,"GAUCHE",-6.48,2.12
"17758","46240","Rocamadour","46",76,637,"DROITE",41.81,26.96,15.22,33.53,25.3,"GAUCHE",-8.28,-1.66
"17759","46241","Rouffilhac","46",76,173,"GAUCHE",39.62,15.38,8.81,30.19,17.31,"GAUCHE",-9.43,1.93
"17760","46242","Rudelle","46",76,178,"GAUCHE",41.03,15.73,8.97,33.97,18.18,"GAUCHE",-7.06,2.45
"17761","46243","Rueyres","46",76,212,"GAUCHE",49.13,15.12,7.51,41.62,16.33,"GAUCHE",-7.51000000000001,1.21
"17762","46244","Sabadel-Latronquière","46",76,84,"GAUCHE",39.56,14,7.69,32.97,14.29,"GAUCHE",-6.59,0.289999999999999
"17763","46245","Sabadel-Lauzès","46",76,89,"DROITE",34.57,28,17.28,32.1,33.33,"GAUCHE",-2.47,5.33
"17764","46246","Saignes","46",76,76,"DROITE",38.98,6.45,3.39,42.37,9.38,"LUD",3.39,2.93
"17765","46247","Saillac","46",76,155,"GAUCHE",32.67,17.89,11.33,25.33,21.78,"GAUCHE",-7.34,3.89
"17766","46248","Sainte-Alauzie","46",76,124,"DROITE",34.86,17.65,11.01,31.19,22.22,"GAUCHE",-3.67,4.57
"17767","46249","Saint-Bressou","46",76,123,"GAUCHE",42.86,8.82,4.76,32.54,11.69,"GAUCHE",-10.32,2.87
"17768","46250","Saint-Caprais","46",76,74,"DROITE",51.32,11.76,5.26,39.47,9.52,"LUD",-11.85,-2.24
"17769","46251","Saint-Céré","46",76,3540,"GAUCHE",48.94,15.18,7.4,40.61,16.77,"GAUCHE",-8.33,1.59
"17770","46252","Saint-Cernin","46",76,187,"DROITE",30.2,17.32,10.89,29.7,17.99,"GAUCHE",-0.5,0.669999999999998
"17771","46253","Saint-Chamarand","46",76,215,"DROITE",36.32,26.13,15.26,25.79,26.19,"GAUCHE",-10.53,0.0600000000000023
"17772","46254","Saint-Chels","46",76,147,"DROITE",25.53,7.53,4.96,22.7,12.75,"GAUCHE",-2.83,5.22
"17773","46255","Saint-Cirgues","46",76,372,"GAUCHE",46.62,16.67,8.11,31.76,19.02,"GAUCHE",-14.86,2.35
"17774","46256","Saint-Cirq-Lapopie","46",76,217,"GAUCHE",39.81,11.86,6.8,33.5,12.12,"GAUCHE",-6.31,0.26
"17775","46257","Saint-Cirq-Madelon","46",76,141,"GAUCHE",43.56,18.18,9.9,34.65,19.64,"GAUCHE",-8.91,1.46
"17776","46258","Saint-Cirq-Souillaguet","46",76,150,"GAUCHE",34.71,18.67,11.57,25.62,24.39,"GAUCHE",-9.09,5.72
"17777","46259","Saint-Clair","46",76,147,"GAUCHE",34.21,12.22,7.24,26.97,17.82,"GAUCHE",-7.24,5.6
"17778","46260","Sainte-Colombe","46",76,200,"GAUCHE",29.14,4.5,2.86,21.14,3.13,"GAUCHE",-8,-1.37
"17779","46261","Sainte-Croix","46",76,75,"DROITE",48.08,16,7.69,25,17.14,"GAUCHE",-23.08,1.14
"17780","46262","Saint-Cyprien","46",76,296,"GAUCHE",44.07,27.27,13.98,33.05,17.76,"GAUCHE",-11.02,-9.51
"17781","46263","Saint-Daunès","46",76,211,"GAUCHE",34.71,20.39,12.35,22.94,22.4,"GAUCHE",-11.77,2.01
"17782","46264","Saint-Denis-Catus","46",76,197,"GAUCHE",42.94,26.67,14.72,40.49,30.34,"GAUCHE",-2.45,3.67
"17783","46265","Saint-Denis-lès-Martel","46",76,324,"GAUCHE",52.08,27.48,12.5,43.4,30.77,"GAUCHE",-8.68,3.29
"17784","46266","Saint-Félix","46",76,488,"GAUCHE",39.48,24,13.83,25.65,22.45,"GAUCHE",-13.83,-1.55
"17785","46267","Saint-Germain-du-Bel-Air","46",76,552,"GAUCHE",41.03,16.53,8.97,32.51,15.33,"GAUCHE",-8.52,-1.2
"17786","46268","Saint-Géry","46",76,444,"GAUCHE",43.2,25.29,13.02,36.69,25.26,"GAUCHE",-6.51000000000001,-0.0299999999999976
"17787","46269","Saint-Hilaire","46",76,75,"GAUCHE",47.83,15.63,7.25,34.78,17.95,"GAUCHE",-13.05,2.32
"17788","46270","Saint-Jean-de-Laur","46",76,220,"DROITE",36.61,19.4,11.61,27.68,19.35,"GAUCHE",-8.93,-0.0499999999999972
"17789","46271","Saint-Jean-Lespinasse","46",76,421,"GAUCHE",47.55,20.96,10.09,32.28,23.01,"GAUCHE",-15.27,2.05
"17790","46272","Saint-Jean-Mirabel","46",76,230,"GAUCHE",44.67,25.24,13.2,35.53,20.34,"GAUCHE",-9.14,-4.9
"17791","46273","Saint-Laurent-les-Tours","46",76,908,"GAUCHE",46.63,21.04,10.7,30.91,22.86,"GAUCHE",-15.72,1.82
"17792","46274","Saint-Laurent-Lolmie","46",76,194,"LFN",37.14,27.88,16.57,28.57,35.83,"GAUCHE",-8.57,7.95
"17793","46275","Saint-Martin-de-Vers","46",76,106,"GAUCHE",39.09,11.29,6.36,23.64,13.58,"GAUCHE",-15.45,2.29
"17794","46276","Saint-Martin-Labouval","46",76,176,"GAUCHE",38.99,12.79,6.92,32.7,13.4,"GAUCHE",-6.29,0.610000000000001
"17795","46277","Saint-Martin-le-Redon","46",76,209,"LFN",37.42,30.3,18.4,33.13,34.62,"GAUCHE",-4.29,4.32
"17796","46278","Saint-Matré","46",76,108,"GAUCHE",42.71,22.92,11.46,33.33,25,"GAUCHE",-9.38,2.08
"17797","46279","Saint-Maurice-en-Quercy","46",76,234,"DROITE",34.48,17.65,10.34,25.86,18.85,"GAUCHE",-8.62,1.2
"17798","46280","Saint-Médard","46",76,160,"GAUCHE",32.94,10,6.47,25.29,14.75,"GAUCHE",-7.65,4.75
"17799","46281","Saint-Médard-de-Presque","46",76,197,"GAUCHE",41.92,17.78,9.58,29.94,20,"GAUCHE",-11.98,2.22
"17800","46282","Saint-Médard-Nicourby","46",76,85,"GAUCHE",21.62,28.26,17.57,16.22,25,"GAUCHE",-5.4,-3.26
"17801","46283","Saint-Michel-de-Bannières","46",76,328,"GAUCHE",41.79,24.64,12.69,29.1,26.26,"GAUCHE",-12.69,1.62
"17802","46284","Saint-Michel-Loubéjou","46",76,376,"GAUCHE",40.53,26.83,14.62,34.55,24.6,"GAUCHE",-5.98,-2.23
"17803","46285","Saint-Pantaléon","46",76,261,"GAUCHE",31.94,20.97,13.61,26.7,22.63,"GAUCHE",-5.24,1.66
"17804","46286","Saint-Paul-de-Vern","46",76,194,"GAUCHE",41.14,25.53,13.71,33.71,23.85,"GAUCHE",-7.43,-1.68
"17805","46287","Saint-Paul-de-Loubressac","46",76,557,"GAUCHE",43.08,19.11,10.33,32.75,21.48,"GAUCHE",-10.33,2.37
"17806","46288","Saint-Perdoux","46",76,192,"GAUCHE",45.36,24.51,12.89,36.6,22.32,"GAUCHE",-8.76,-2.19
"17807","46289","Saint-Pierre-Toirac","46",76,144,"GAUCHE",37.39,20.31,11.3,29.57,24.66,"GAUCHE",-7.82,4.35
"17808","46290","Saint-Projet","46",76,373,"GAUCHE",31.64,22.6,14.55,23.64,26.11,"GAUCHE",-8,3.51
"17809","46291","Saint-Sauveur-la-Vallée","46",76,42,"DROITE",31.71,34.62,21.95,12.2,40,"LFN",-19.51,5.38
"17810","46292","Saint-Simon","46",76,166,"GAUCHE",36.36,23.75,14.39,36.36,20,"GAUCHE",0,-3.75
"17811","46293","Saint-Sozy","46",76,496,"GAUCHE",41.29,20.09,10.5,31.74,20.15,"GAUCHE",-9.55,0.0599999999999987
"17812","46294","Saint-Sulpice","46",76,144,"GAUCHE",29.5,9.57,6.47,22.3,9.62,"GAUCHE",-7.2,0.0499999999999989
"17813","46295","Saint-Vincent-du-Pendit","46",76,156,"GAUCHE",34.64,16.13,9.8,22.88,17.27,"GAUCHE",-11.76,1.14
"17814","46296","Saint-Vincent-Rive-d'Olt","46",76,470,"GAUCHE",44.65,19.91,10.23,35.12,18.25,"GAUCHE",-9.53,-1.66
"17815","46297","Salviac","46",76,1224,"LFN",45.89,27.95,14.02,37.79,26.36,"GAUCHE",-8.1,-1.59
"17816","46298","Sarrazac","46",76,534,"GAUCHE",43.88,18.62,9.7,36.5,21.11,"GAUCHE",-7.38,2.49
"17817","46299","Sauliac-sur-Célé","46",76,118,"GAUCHE",37.19,2.94,1.65,35.54,5.63,"GAUCHE",-1.65,2.69
"17818","46300","Saux","46",76,121,"LFN",45.26,37.5,18.95,31.58,40.32,"LFN",-13.68,2.82
"17819","46301","Sauzet","46",76,507,"GAUCHE",43.52,17.45,9.05,32.52,17.9,"GAUCHE",-11,0.449999999999999
"17820","46302","Sénaillac-Latronquière","46",76,136,"LFN",54.33,34.55,14.96,38.58,32.47,"GAUCHE",-15.75,-2.08
"17821","46303","Sénaillac-Lauzès","46",76,117,"DROITE",27.69,21.28,15.38,28.46,20,"GAUCHE",0.77,-1.28
"17822","46304","Séniergues","46",76,126,"DROITE",47.73,10.29,5.3,43.18,11.11,"LUD",-4.55,0.82
"17823","46305","Sérignac","46",76,304,"DROITE",51.01,19.81,8.5,46.96,25.21,"GAUCHE",-4.05,5.4
"17824","46306","Sonac","46",76,80,"GAUCHE",36,4.44,2.67,28,15.38,"GAUCHE",-8,10.94
"17825","46307","Soturac","46",76,644,"GAUCHE",53.02,27.09,11.85,42.67,31.73,"GAUCHE",-10.35,4.64
"17826","46308","Soucirac","46",76,102,"GAUCHE",38.3,24,12.77,36.17,25.86,"GAUCHE",-2.13,1.86
"17827","46309","Souillac","46",76,3615,"GAUCHE",52.11,21.63,9.69,42.5,22.86,"GAUCHE",-9.61,1.23
"17828","46310","Soulomès","46",76,119,"DROITE",28,13.24,9,25,11.11,"LUD",-3,-2.13
"17829","46311","Sousceyrac","46",76,889,"GAUCHE",51.86,20.58,8.47,38.48,19.53,"GAUCHE",-13.38,-1.05
"17830","46312","Strenquels","46",76,266,"GAUCHE",48.13,27.62,13.55,34.58,23.88,"GAUCHE",-13.55,-3.74
"17831","46313","Tauriac","46",76,397,"GAUCHE",48.85,25.9,11.8,35.74,26.09,"GAUCHE",-13.11,0.190000000000001
"17832","46314","Terrou","46",76,181,"GAUCHE",33.51,13.22,8.25,28.87,12.5,"GAUCHE",-4.64,-0.720000000000001
"17833","46315","Teyssieu","46",76,189,"GAUCHE",43.71,19.32,10.18,34.73,19.8,"GAUCHE",-8.98,0.48
"17834","46316","Thédirac","46",76,313,"GAUCHE",39.69,25.87,14.4,31.13,19.63,"GAUCHE",-8.56,-6.24
"17835","46317","Thégra","46",76,507,"GAUCHE",37.3,22.67,13.49,29.37,19.85,"GAUCHE",-7.93,-2.82
"17836","46318","Thémines","46",76,213,"GAUCHE",39,7.14,4,35,6.67,"GAUCHE",-4,-0.47
"17837","46319","Théminettes","46",76,162,"GAUCHE",55.17,25.42,10.34,41.38,20.99,"GAUCHE",-13.79,-4.43
"17838","46320","Tour-de-Faure","46",76,380,"LFN",48.93,26.47,12.86,37.5,26.83,"GAUCHE",-11.43,0.359999999999999
"17839","46321","Touzac","46",76,363,"LFN",49.64,32.56,15,43.21,29.25,"GAUCHE",-6.43,-3.31
"17840","46322","Trespoux-Rassiels","46",76,790,"GAUCHE",48.99,27.27,13.49,40.47,26.13,"GAUCHE",-8.52,-1.14
"17841","46323","Ussel","46",76,81,"DROITE",45.78,25.64,12.05,37.35,20.41,"GAUCHE",-8.43,-5.23
"17842","46324","Uzech","46",76,218,"GAUCHE",40.54,19.42,10.81,31.35,20.17,"GAUCHE",-9.19,0.75
"17843","46325","Vaillac","46",76,98,"DROITE",43.27,29.63,15.38,34.62,33.85,"LUD",-8.65000000000001,4.22
"17844","46326","Valprionde","46",76,120,"LFN",50.46,29.41,13.76,44.04,33.93,"GAUCHE",-6.42,4.52
"17845","46327","Valroufié","46",76,430,"GAUCHE",39.24,28.31,16.89,29.16,30.68,"GAUCHE",-10.08,2.37
"17846","46328","Varaire","46",76,309,"GAUCHE",41.7,20.53,10.95,29.68,20.88,"GAUCHE",-12.02,0.349999999999998
"17847","46329","Vaylats","46",76,269,"DROITE",32.74,24.65,15.7,24.66,29.11,"GAUCHE",-8.08,4.46
"17848","46330","Vayrac","46",76,1342,"GAUCHE",38.69,23.12,13.3,31.04,23.92,"GAUCHE",-7.65,0.800000000000001
"17849","46331","Vers","46",76,418,"DROITE",38.42,21.8,12.99,33.05,26.22,"GAUCHE",-5.37,4.42
"17850","46332","Viazac","46",76,314,"GAUCHE",45.32,22.31,10.86,28.46,21.43,"GAUCHE",-16.86,-0.879999999999999
"17851","46333","Vidaillac","46",76,164,"GAUCHE",43.83,18.6,9.88,32.1,30,"GAUCHE",-11.73,11.4
"17852","46334","Le Vigan","46",76,1518,"GAUCHE",43.58,24.09,12.93,33.74,27.63,"GAUCHE",-9.84,3.54
"17853","46335","Villesèque","46",76,407,"GAUCHE",37.46,18.96,11.27,27.04,21.58,"GAUCHE",-10.42,2.62
"17854","46336","Vire-sur-Lot","46",76,375,"GAUCHE",46.18,15.63,8.03,32.53,18.52,"GAUCHE",-13.65,2.89
"17855","46337","Mayrac","46",76,272,"GAUCHE",43.17,15.13,7.93,34.8,20.14,"GAUCHE",-8.37,5.01
"17856","46338","Bessonies","46",76,100,"GAUCHE",38.27,6.98,3.7,27.16,7.02,"GAUCHE",-11.11,0.0399999999999991
"17857","46339","Saint-Jean-Lagineste","46",76,327,"GAUCHE",41.58,17.76,9.68,28.67,19.68,"GAUCHE",-12.91,1.92
"17858","46340","Saint-Pierre-Lafeuille","46",76,368,"LFN",46.8,26.4,13.2,36.8,25,"GAUCHE",-10,-1.4
"17859","47001","Agen","47",75,33730,"DROITE",53.13,25.1,11.22,46.45,24.07,"GAUCHE",-6.68,-1.03
"17860","47002","Agmé","47",75,134,"DROITE",38.04,27.45,15.22,34.78,27.78,"LUD",-3.26,0.330000000000002
"17861","47003","Agnac","47",75,461,"LFN",40.46,29.71,17.11,31.25,28.87,"GAUCHE",-9.21,-0.84
"17862","47004","Aiguillon","47",75,4314,"LFN",53.52,32.27,14.36,42.45,28.98,"GAUCHE",-11.07,-3.29
"17863","47005","Allemans-du-Dropt","47",75,509,"GAUCHE",38.12,22.17,12.98,25.97,24.21,"GAUCHE",-12.15,2.04
"17864","47006","Allez-et-Cazeneuve","47",75,678,"GAUCHE",40.79,26.56,14.92,33.57,31.25,"GAUCHE",-7.22,4.69
"17865","47007","Allons","47",75,174,"LFN",40.24,31.91,18.29,32.32,29.7,"GAUCHE",-7.92,-2.21
"17866","47008","Ambrus","47",75,108,"LFN",35.71,33.9,20.41,33.67,28.33,"GAUCHE",-2.04,-5.57
"17867","47009","Andiran","47",75,215,"LFN",45.6,30.61,15.54,35.23,32.5,"GAUCHE",-10.37,1.89
"17868","47010","Antagnac","47",75,231,"LFN",41.1,32.22,17.79,35.58,29.17,"LUD",-5.52,-3.05
"17869","47011","Anthé","47",75,192,"LFN",49.32,31.34,14.38,37.67,40.48,"LFN",-11.65,9.14
"17870","47012","Anzex","47",75,296,"LFN",43.83,28.57,15.32,37.45,25.9,"GAUCHE",-6.38,-2.67
"17871","47013","Argenton","47",75,339,"LFN",51.35,35.59,16.22,40.93,36.62,"LFN",-10.42,1.02999999999999
"17872","47014","Armillac","47",75,197,"LFN",47.59,41.1,20.69,40.69,34.94,"GAUCHE",-6.90000000000001,-6.16
"17873","47015","Astaffort","47",75,2036,"LFN",48.57,30.03,14.29,38.94,29.95,"GAUCHE",-9.63,-0.0800000000000018
"17874","47016","Aubiac","47",75,1050,"LFN",40.12,32.85,18.81,31.19,32.91,"GAUCHE",-8.93,0.0599999999999952
"17875","47017","Auradou","47",75,381,"LFN",47.19,38.52,19.48,39.7,37.66,"LFN",-7.48999999999999,-0.860000000000007
"17876","47018","Auriac-sur-Dropt","47",75,195,"LFN",31.43,36.05,22.14,33.57,30.23,"LUD",2.14,-5.82
"17877","47019","Bajamont","47",75,960,"LFN",44.08,32.35,17.34,37.97,29.34,"GAUCHE",-6.11,-3.01
"17878","47020","Baleyssagues","47",75,181,"GAUCHE",39.1,20.78,12.03,20.3,17,"GAUCHE",-18.8,-3.78
"17879","47021","Barbaste","47",75,1529,"LFN",41.8,30.23,16.85,33.79,33.24,"GAUCHE",-8.01,3.01
"17880","47022","Bazens","47",75,535,"LFN",43.61,32,17.35,36.78,33.61,"LFN",-6.83,1.61
"17881","47023","Beaugas","47",75,338,"DROITE",42.4,29.29,16.4,32.4,36.48,"LFN",-10,7.19
"17882","47024","Beaupuy","47",75,1556,"LFN",41.01,32.45,17.88,35.68,32.45,"GAUCHE",-5.33,0
"17883","47025","Beauville","47",75,567,"LFN",42.93,27.98,15.4,38.38,28.7,"GAUCHE",-4.55,0.719999999999999
"17884","47026","Beauziac","47",75,260,"GAUCHE",45.45,27.55,14.44,38.5,30.84,"GAUCHE",-6.95,3.29
"17885","47027","Bias","47",75,3146,"LFN",49.28,35.79,17.16,41.96,33.77,"GAUCHE",-7.32,-2.02
"17886","47028","Birac-sur-Trec","47",75,822,"LFN",46.45,32.52,16.9,38.39,34.76,"LUD",-8.06,2.23999999999999
"17887","47029","Blanquefort-sur-Briolance","47",75,509,"GAUCHE",45.48,25.63,13.18,33.33,24.79,"GAUCHE",-12.15,-0.84
"17888","47030","Blaymont","47",75,220,"LFN",41.14,34.07,17.71,37.71,32,"GAUCHE",-3.43,-2.07
"17889","47031","Boé","47",75,5458,"LFN",48.7,35.4,17.44,42.22,35.02,"GAUCHE",-6.48,-0.379999999999995
"17890","47032","Bon-Encontre","47",75,6182,"LFN",48.94,33.85,16.5,40.28,31.1,"GAUCHE",-8.66,-2.75
