"","INSEE","ABST2","PCFNT2","winnerT2"
"332","01364",42.48,36.36,"LFN"
"333","01365",46.6,28.23,"LUD"
"334","01366",33.28,33.67,"LUD"
"335","01367",33.41,31.5,"LUD"
"336","01368",37.3,28.34,"LUD"
"337","01369",43.15,19.31,"LUD"
"338","01370",49.89,26.4,"GAUCHE"
"339","01371",39.17,36.99,"LFN"
"340","01372",44.03,21.64,"GAUCHE"
"341","01373",40.77,31.5,"LUD"
"342","01374",37.15,24.16,"LUD"
"343","01375",36.15,35.91,"LFN"
"344","01376",46.75,27.76,"GAUCHE"
"345","01378",38.22,39.53,"LFN"
"346","01379",38.74,41.2,"LFN"
"347","01380",46.8,29.28,"LUD"
"348","01381",42.56,37.8,"LFN"
"349","01382",36.32,34.06,"LUD"
"350","01383",41.58,39.58,"LFN"
"351","01384",50.12,32.64,"GAUCHE"
"352","01385",33.42,23.54,"LUD"
"353","01386",43.01,27.77,"LUD"
"354","01387",33.1,29.21,"GAUCHE"
"355","01388",43.33,38.34,"LUD"
"356","01389",45.89,40.68,"LFN"
"357","01390",46.26,41.81,"LFN"
"358","01391",37.96,30.99,"LUD"
"359","01392",38.51,33.81,"LUD"
"360","01393",39.89,38.6,"LUD"
"361","01396",51.89,36.24,"LUD"
"362","01397",52.32,15.02,"LUD"
"363","01398",39.98,37.04,"LUD"
"364","01399",49.81,21.37,"LUD"
"365","01400",37.68,17.44,"GAUCHE"
"366","01401",42.35,18.93,"LUD"
"367","01402",46.57,36.11,"LFN"
"368","01403",44.57,32.04,"GAUCHE"
"369","01404",34.96,41.77,"LFN"
"370","01405",46.43,38.57,"LFN"
"371","01406",30.91,26.39,"LUD"
"372","01407",44.48,30.39,"GAUCHE"
"373","01408",40.28,31.97,"GAUCHE"
"374","01409",39.83,38.81,"LFN"
"375","01410",37.7,20.39,"GAUCHE"
"376","01411",38.76,42.62,"LFN"
"377","01412",39.91,34,"LUD"
"378","01413",45.07,41.67,"LFN"
"379","01414",31.46,18.1,"GAUCHE"
"380","01415",32,34,"GAUCHE"
"381","01416",50.22,40.84,"LFN"
"382","01417",37.46,30.99,"GAUCHE"
"383","01418",36.27,22.41,"LUD"
"384","01419",47.78,17.64,"LUD"
"385","01420",52.67,35.08,"LUD"
"386","01421",40.42,42.28,"LFN"
"387","01422",36.38,29.49,"GAUCHE"
"388","01423",39.46,39.14,"LFN"
"389","01424",36.42,26.12,"LUD"
"390","01425",27.91,32,"LUD"
"391","01426",37.43,26.01,"GAUCHE"
"392","01427",45.4,22.93,"GAUCHE"
"393","01428",42.22,34.04,"LUD"
"394","01429",36.91,36.63,"LFN"
"395","01430",39.13,30.9,"LUD"
"396","01431",37.71,27.04,"GAUCHE"
"397","01432",37.38,23.58,"LUD"
"398","01433",33.33,47.62,"LFN"
"399","01434",33.11,38.14,"LUD"
"400","01435",53.91,18.75,"LUD"
"401","01436",51.35,8.28,"LUD"
"402","01437",33.33,40.45,"LFN"
"403","01439",32.43,23.91,"LUD"
"404","01441",41.1,35.74,"LUD"
"405","01442",37.1,19.47,"GAUCHE"
"406","01443",44.07,29.94,"LUD"
"407","01444",45.28,29.22,"GAUCHE"
"408","01445",34.35,33.23,"LUD"
"409","01446",37.83,36.05,"LUD"
"410","01447",42.46,33.97,"LFN"
"411","01448",32.54,30.12,"LUD"
"412","01449",34.18,38.48,"LFN"
"413","01450",41.58,36.27,"LUD"
"414","01451",38.96,22.53,"LUD"
"415","01452",42.64,35.59,"GAUCHE"
"416","01453",40.27,31.25,"LUD"
"417","01454",40.37,36.89,"LUD"
"418","01456",20.55,12.96,"GAUCHE"
"419","01457",44.19,28.28,"LUD"
"420","02001",35.9,55.11,"LFN"
"421","02002",28.57,54.81,"LFN"
"422","02003",35.32,45.47,"LUD"
"423","02004",31.25,36.96,"LUD"
"424","02005",35.24,53.97,"LFN"
"425","02006",33.61,51.75,"LFN"
"426","02007",22,43.84,"LUD"
"427","02008",32.22,47.37,"LUD"
"428","02009",28.61,52.42,"LFN"
"429","02010",26.83,63.41,"LFN"
"430","02011",41.61,46.68,"LUD"
"431","02012",30.51,51.28,"LFN"
"432","02013",36.88,51.43,"LFN"
"433","02014",31,56.14,"LFN"
"434","02015",42.25,58.54,"LFN"
"435","02016",32.26,37.37,"LUD"
"436","02017",31.51,49.63,"LUD"
"437","02018",38.95,43.32,"LUD"
"438","02019",33.1,47.46,"LUD"
"439","02020",35.33,53.81,"LFN"
"440","02021",29.63,63.46,"LFN"
"441","02022",33.04,50,"LUD"
"442","02023",27.08,41.54,"LUD"
"443","02024",18.18,41.18,"LUD"
"444","02025",28.52,47.4,"LUD"
"445","02026",27.59,56.84,"LFN"
"446","02027",37.44,54.7,"LFN"
"447","02028",33.05,53.36,"LFN"
"448","02029",28.3,46.6,"LUD"
"449","02030",26.29,36.75,"LUD"
"450","02031",37.78,60.61,"LFN"
"451","02032",37.44,63.11,"LFN"
"452","02033",38.46,42.22,"LUD"
"453","02034",41.86,37.5,"LUD"
"454","02035",26.02,45.59,"LUD"
"455","02036",31.03,41.67,"LUD"
"456","02037",38,43.63,"LUD"
"457","02038",36.51,51.52,"LFN"
"458","02039",24.17,48.15,"LUD"
"459","02040",34.04,35.29,"LUD"
"460","02041",37.23,44.24,"LUD"
"461","02042",36.16,53.29,"LFN"
"462","02043",25,75,"LFN"
"463","02044",37.04,35.29,"LUD"
"464","02046",29.28,49.81,"LUD"
"465","02047",31.48,65.67,"LFN"
"466","02048",25.53,49.15,"LUD"
"467","02049",31.91,52.02,"LFN"
"468","02050",29.66,63.64,"LFN"
"469","02051",41.33,51.32,"LFN"
"470","02052",40.52,57.58,"LFN"
"471","02053",31.22,34.39,"LUD"
"472","02054",41.59,40.8,"LUD"
"473","02055",25.51,61.64,"LFN"
"474","02056",27.48,66.67,"LFN"
"475","02057",40.95,52.46,"LFN"
"476","02058",34.75,48.03,"LUD"
"477","02059",48.04,51.89,"LFN"
"478","02060",31.86,44.52,"LUD"
"479","02061",48.76,64.04,"LFN"
"480","02062",30.61,65.63,"LFN"
"481","02063",32.41,53.01,"LFN"
"482","02064",38.48,47.6,"LUD"
"483","02065",29.67,50.52,"LFN"
"484","02066",32.1,39.18,"LUD"
"485","02067",33.71,54.37,"LFN"
"486","02068",22.39,70.83,"LFN"
"487","02069",28.24,45.76,"LUD"
"488","02070",34.81,45.5,"LUD"
"489","02071",33.6,46.08,"LUD"
"490","02072",33.82,35.63,"LUD"
"491","02073",40.22,56.13,"LFN"
"492","02074",39.32,61.05,"LFN"
"493","02075",24.85,54.62,"LFN"
"494","02076",40.57,46.77,"LUD"
"495","02077",36.53,42.55,"LUD"
"496","02078",33.98,56.06,"LFN"
"497","02079",25.6,51.11,"LFN"
"498","02080",33.67,35.52,"LUD"
"499","02081",34.44,49.74,"LUD"
"500","02082",27.84,58.73,"LFN"
"501","02083",38.3,58.33,"LFN"
"502","02084",26.52,51.16,"LFN"
"503","02085",40.03,43.18,"LUD"
"504","02086",33.83,53.93,"LFN"
"505","02087",26.09,64.29,"LFN"
"506","02088",27.27,64.86,"LFN"
"507","02089",32.19,59.96,"LFN"
"508","02090",42.31,41.41,"LUD"
"509","02091",36.51,30.3,"LUD"
"510","02093",38.58,50.98,"LFN"
"511","02094",29.02,45.37,"LUD"
"512","02095",42.81,49.78,"LUD"
"513","02096",37.11,48.35,"LUD"
"514","02097",36.41,56.19,"LFN"
