"","lepen","sarkozy","hollande","INSEE","PCwinner","winner"
"5419",10.94,34.38,18.75,"15197",34.38,"sarkozy"
"5420",25,41.67,5.95,"15198",41.67,"sarkozy"
"5421",21.82,40,18.18,"15199",40,"sarkozy"
"5422",26.05,24.37,18.49,"15200",26.05,"lepen"
"5423",18.38,49.19,14.05,"15201",49.19,"sarkozy"
"5424",14.59,29.53,36.2,"15202",36.2,"hollande"
"5425",13.18,42.64,21.71,"15203",42.64,"sarkozy"
"5426",16.12,20,36.82,"15204",36.82,"hollande"
"5427",16.52,41.74,20.87,"15205",41.74,"sarkozy"
"5428",17.09,33.33,17.95,"15206",33.33,"sarkozy"
"5429",19.47,30.15,20.23,"15207",30.15,"sarkozy"
"5430",7.55,38.68,25.47,"15208",38.68,"sarkozy"
"5431",7.84,55.88,12.75,"15209",55.88,"sarkozy"
"5432",19.42,28.16,33.01,"15211",33.01,"hollande"
"5433",23.45,17.26,34.07,"15212",34.07,"hollande"
"5434",19.89,39.78,19.89,"15213",39.78,"sarkozy"
"5435",12.67,22,42.67,"15214",42.67,"hollande"
"5436",14.52,28.41,31.29,"15215",31.29,"hollande"
"5437",15.97,52.72,8.63,"15216",52.72,"sarkozy"
"5438",14.67,40,22.67,"15217",40,"sarkozy"
"5439",7.69,23.08,30.77,"15218",30.77,"hollande"
"5440",8,44.8,25.2,"15219",44.8,"sarkozy"
"5441",9.7,35.07,29.1,"15220",35.07,"sarkozy"
"5442",18.43,20,38.76,"15221",38.76,"hollande"
"5443",7.83,40.96,21.69,"15222",40.96,"sarkozy"
"5444",9.09,25.32,29.22,"15223",29.22,"hollande"
"5445",8.91,20.79,38.61,"15224",38.61,"hollande"
"5446",14.63,40.24,15.85,"15225",40.24,"sarkozy"
"5447",18.24,40.88,16.98,"15226",40.88,"sarkozy"
"5448",11.43,33.33,22.86,"15227",33.33,"sarkozy"
"5449",16.18,29.23,25.12,"15228",29.23,"sarkozy"
"5450",8.54,40.24,10.98,"15229",40.24,"sarkozy"
"5451",15.79,23.68,34.87,"15230",34.87,"hollande"
"5452",17.56,32.93,23.17,"15231",32.93,"sarkozy"
"5453",21.69,31.33,16.27,"15232",31.33,"sarkozy"
"5454",19.75,25.31,29.63,"15233",29.63,"hollande"
"5455",16.33,33.07,25.5,"15234",33.07,"sarkozy"
"5456",21.57,27.17,22.13,"15235",27.17,"sarkozy"
"5457",16.7,36.79,22.2,"15236",36.79,"sarkozy"
"5458",11.54,38.46,20.77,"15237",38.46,"sarkozy"
"5459",22.31,32.23,28.1,"15238",32.23,"sarkozy"
"5460",16.08,21.68,25.87,"15240",25.87,"hollande"
"5461",21.43,28.57,16.67,"15241",28.57,"sarkozy"
"5462",12.82,34.62,20.51,"15242",34.62,"sarkozy"
"5463",20.31,33.93,26.48,"15243",33.93,"sarkozy"
"5464",22.65,27.83,22.33,"15244",27.83,"sarkozy"
"5465",14.2,29.59,24.85,"15245",29.59,"sarkozy"
"5466",22.22,26.46,24.34,"15246",26.46,"sarkozy"
"5467",18.52,55.56,7.41,"15247",55.56,"sarkozy"
"5468",15.74,36.8,18.89,"15248",36.8,"sarkozy"
"5469",13.7,41.1,13.7,"15249",41.1,"sarkozy"
"5470",17.06,19.71,36.18,"15250",36.18,"hollande"
"5471",22.31,25.38,26.15,"15251",26.15,"hollande"
